acousticness,danceability,energy,instrumentalness,loudness,valence,genre
0.795,0.319,0.467,0.903,-10.88,0.393,2
0.7879999999999999,0.321,0.257,0.858,-13.175999999999998,0.153,0
0.0172,0.86,0.583,0.0,-6.797999999999999,0.413,1
0.159,0.784,0.586,0.0,-5.148,0.8240000000000001,1
0.271,0.414,0.404,0.0,-9.928,0.224,2
0.894,0.253,0.177,0.573,-19.525,0.242,0
0.974,0.295,0.119,0.934,-17.42,0.354,0
0.994,0.174,0.17800000000000002,0.861,-18.717,0.0347,0
0.944,0.14800000000000002,0.0722,0.14800000000000002,-25.217,0.0467,0
0.913,0.395,0.0225,0.953,-32.611999999999995,0.217,0
0.307,0.802,0.441,0.00259,-13.67,0.25,1
0.994,0.29600000000000004,0.00896,0.91,-31.948,0.0673,0
0.948,0.184,0.0953,0.0371,-18.573,0.197,2
0.385,0.6709999999999999,0.405,0.0,-10.052,0.828,2
0.963,0.336,0.29100000000000004,0.0004570000000000001,-12.972,0.0786,2
0.995,0.321,0.0134,0.909,-25.438,0.0624,0
0.448,0.55,0.8240000000000001,0.000127,-5.988,0.777,2
0.992,0.225,0.0047,0.8809999999999999,-30.928,0.18600000000000005,0
0.818,0.201,0.435,0.00245,-7.149,0.349,0
0.015,0.547,0.691,0.105,-13.553,0.667,2
0.989,0.16,0.0668,0.914,-18.868,0.0344,2
0.202,0.799,0.39,0.028,-10.558,0.423,1
0.629,0.735,0.449,0.0,-7.5070000000000014,0.0397,1
0.949,0.58,0.0427,0.987,-32.398,0.774,2
0.903,0.177,0.127,0.901,-19.167,0.0612,0
0.00321,0.482,0.7859999999999999,8.88e-05,-5.735,0.7929999999999999,2
0.0533,0.5479999999999999,0.5820000000000001,0.0096,-10.194,0.305,0
0.966,0.115,0.0422,0.919,-24.137,0.037000000000000005,0
0.96,0.175,0.231,0.0177,-13.488,0.0397,0
0.17800000000000002,0.55,0.5760000000000001,0.00935,-13.475,0.486,2
0.0235,0.16699999999999998,0.181,0.88,-15.928,0.0504,0
0.7140000000000001,0.238,0.227,0.8320000000000001,-15.534,0.29,0
0.7390000000000001,0.25,0.5870000000000001,0.915,-11.227,0.206,0
0.28800000000000003,0.8059999999999999,0.665,0.0,-7.463999999999999,0.502,1
0.977,0.458,0.11,0.903,-22.234,0.481,0
0.687,0.4320000000000001,0.389,0.0107,-6.517,0.158,2
0.408,0.504,0.578,0.0,-9.302,0.654,2
0.995,0.436,0.00518,0.932,-36.593,0.275,0
0.8,0.122,0.0862,0.901,-30.677,0.0379,2
0.993,0.261,0.0144,0.932,-28.002,0.0738,0
0.8,0.122,0.0862,0.901,-30.677,0.0379,0
0.4320000000000001,0.601,0.532,6.25e-06,-9.119,0.341,2
0.0265,0.8420000000000001,0.789,0.0,-8.732999999999999,0.795,1
0.07200000000000001,0.76,0.615,0.0,-9.36,0.35100000000000003,1
0.011,0.31,0.7,0.00965,-5.678,0.763,2
0.0188,0.861,0.58,2.22e-06,-7.07,0.805,1
0.118,0.7240000000000001,0.435,0.0,-10.68,0.406,1
0.0239,0.8490000000000001,0.536,0.0,-7.307,0.308,1
0.0102,0.7290000000000001,0.989,4.45e-05,-4.613,0.84,2
0.145,0.0891,0.341,0.836,-12.681,0.0334,0
0.381,0.927,0.623,0.0,-6.886,0.596,1
0.969,0.116,0.0694,0.644,-23.624,0.0377,0
0.992,0.361,0.0064,0.893,-30.422,0.1,2
0.206,0.762,0.703,0.0,-7.951,0.519,1
0.221,0.7,0.722,0.0,-3.5580000000000003,0.7559999999999999,1
0.269,0.831,0.499,0.0,-8.442,0.511,1
0.11800000000000001,0.903,0.586,0.0,-6.593,0.738,1
0.00301,0.8009999999999999,0.596,0.0,-4.72,0.134,1
0.955,0.616,0.008459999999999999,0.000491,-24.88300000000001,0.4970000000000001,0
0.131,0.8059999999999999,0.718,0.0,-4.213,0.586,1
0.00169,0.361,0.97,0.0016300000000000002,-4.817,0.254,2
0.00351,0.336,0.792,0.00175,-10.875,0.4270000000000001,2
0.987,0.29,0.0126,0.943,-27.648000000000003,0.0333,0
0.948,0.184,0.0953,0.0371,-18.573,0.197,0
0.0846,0.611,0.883,1.2e-06,-11.225,0.604,2
0.0224,0.6829999999999999,0.779,0.0,-6.5120000000000005,0.198,1
0.000646,0.89,0.519,0.0243,-7.566,0.561,1
0.75,0.385,0.202,0.7829999999999999,-15.072,0.233,0
0.279,0.836,0.5579999999999999,1.55e-05,-9.572,0.708,1
0.302,0.453,0.464,5.96e-05,-10.96,0.6579999999999999,2
0.0664,0.741,0.6970000000000001,2.28e-05,-7.028,0.774,2
0.983,0.384,0.0955,0.826,-19.427,0.0425,2
0.913,0.395,0.0225,0.953,-32.611999999999995,0.217,2
0.326,0.5429999999999999,0.529,0.00269,-9.717,0.746,2
0.162,0.6940000000000001,0.6970000000000001,0.0,-7.372999999999997,0.379,1
0.00969,0.7190000000000001,0.5920000000000001,0.0,-6.372000000000001,0.44,1
0.807,0.165,0.106,0.782,-21.742,0.0336,0
0.00145,0.536,0.901,0.0186,-7.211,0.6659999999999999,2
0.231,0.838,0.609,0.0,-5.1610000000000005,0.6,1
0.12,0.81,0.511,0.0,-6.9239999999999995,0.8370000000000001,1
0.244,0.7609999999999999,0.518,3.47e-05,-8.871,0.522,1
0.0484,0.412,0.902,0.131,-11.6,0.422,2
0.947,0.528,0.282,0.959,-16.449,0.393,2
0.96,0.175,0.231,0.0177,-13.488,0.0397,2
0.993,0.341,0.0142,0.921,-28.29300000000001,0.0384,0
0.927,0.204,0.0331,0.825,-24.044,0.0547,0
0.795,0.319,0.467,0.903,-10.88,0.393,0
0.898,0.371,0.131,0.925,-23.899,0.0655,0
0.975,0.183,0.191,0.0589,-17.132,0.0392,2
0.122,0.691,0.632,0.0,-7.598,0.488,1
0.846,0.173,0.149,0.925,-19.694000000000006,0.0901,0
0.873,0.205,0.0686,0.402,-23.415,0.0359,0
0.8140000000000001,0.253,0.327,2.51e-06,-8.457,0.0444,0
0.0468,0.654,0.929,0.0,-5.9060000000000015,0.902,2
0.96,0.153,0.0551,0.7879999999999999,-23.94,0.157,2
0.8590000000000001,0.142,0.113,0.838,-25.362,0.0697,0
0.452,0.483,0.615,0.000414,-8.538,0.594,2
0.973,0.331,0.0422,0.922,-28.457,0.108,2
0.974,0.295,0.119,0.934,-17.42,0.354,2
0.995,0.272,0.0138,0.925,-31.146,0.0808,0
0.894,0.35200000000000004,0.235,0.675,-16.235,0.329,0
0.92,0.34600000000000003,0.229,0.76,-14.399,0.3670000000000001,2
0.26,0.748,0.48700000000000004,0.0,-9.462,0.7040000000000001,1
0.389,0.691,0.5920000000000001,3.2899999999999987e-05,-8.089,0.736,2
0.92,0.254,0.171,0.804,-14.75,0.28300000000000003,2
0.0327,0.8809999999999999,0.457,0.0,-8.191,0.29600000000000004,1
0.976,0.212,0.119,0.907,-20.511,0.0396,0
0.203,0.816,0.579,0.0,-6.097,0.43,1
0.978,0.18600000000000005,0.124,0.865,-15.271,0.248,0
0.955,0.245,0.315,0.00156,-11.555,0.126,0
0.984,0.339,0.0588,0.862,-17.647000000000006,0.198,0
0.079,0.742,0.833,0.0,-6.462999999999999,0.816,2
0.89,0.275,0.157,0.8420000000000001,-18.752,0.304,0
0.0421,0.752,0.6579999999999999,0.0,-6.2970000000000015,0.387,1
0.943,0.396,0.277,0.975,-14.373,0.353,2
0.989,0.16,0.0668,0.914,-18.868,0.0344,0
0.991,0.377,0.173,0.909,-21.377,0.5579999999999999,0
0.0111,0.7959999999999999,0.6829999999999999,2.58e-06,-5.165,0.737,1
0.0192,0.5429999999999999,0.715,0.0,-8.89,0.468,2
0.991,0.191,0.0363,0.924,-25.31,0.0372,0
0.993,0.277,0.241,0.91,-15.582,0.185,2
0.804,0.295,0.408,0.14800000000000002,-16.632,0.16399999999999998,0
0.0279,0.851,0.518,0.0,-9.422,0.468,1
0.984,0.223,0.165,0.95,-16.394000000000002,0.0518,0
0.947,0.101,0.0241,0.847,-30.172,0.0329,0
0.991,0.122,0.0143,0.261,-31.373,0.083,2
0.974,0.102,0.0733,0.8590000000000001,-24.13300000000001,0.0308,0
0.0691,0.528,0.705,0.0,-4.767,0.645,1
0.939,0.34700000000000003,0.145,0.8140000000000001,-17.307000000000002,0.44,0
0.406,0.653,0.519,0.0209,-10.164,0.8220000000000001,2
0.466,0.8440000000000001,0.578,1.18e-06,-7.423999999999999,0.737,1
0.992,0.35700000000000004,0.0464,0.8590000000000001,-20.868,0.0417,0
0.963,0.391,0.24,4.07e-06,-16.497,0.238,0
0.348,0.866,0.565,0.0,-8.738999999999999,0.88,1
0.974,0.304,0.145,0.871,-16.918,0.0568,2
0.0198,0.57,0.5710000000000001,0.0,-6.3260000000000005,0.248,1
0.935,0.24,0.0648,0.0272,-25.208,0.0771,0
0.251,0.77,0.648,4.3e-06,-5.675,0.417,1
0.6990000000000001,0.531,0.481,0.0,-11.709,0.491,2
0.994,0.249,0.0356,0.866,-30.165,0.7559999999999999,0
0.81,0.48,0.163,0.754,-19.117,0.212,0
0.388,0.307,0.433,9.08e-05,-10.057,0.224,2
0.19399999999999998,0.7140000000000001,0.609,0.0,-7.683,0.778,1
0.0978,0.7240000000000001,0.675,9.41e-06,-5.267,0.325,1
0.0966,0.667,0.755,6.94e-05,-7.246,0.883,2
0.278,0.782,0.529,0.0,-8.877,0.3,1
0.994,0.249,0.0356,0.866,-30.165,0.7559999999999999,2
0.853,0.794,0.32,0.134,-12.92,0.241,1
0.123,0.6509999999999999,0.8009999999999999,0.0,-7.34,0.7759999999999999,2
0.923,0.342,0.237,0.741,-14.332,0.334,0
0.105,0.173,0.481,0.052000000000000005,-9.674,0.047,0
0.75,0.385,0.202,0.7829999999999999,-15.072,0.233,2
0.941,0.197,0.046,0.7979999999999999,-22.31,0.0386,2
0.963,0.212,0.301,0.0033,-12.505,0.0798,0
0.901,0.359,0.046,0.118,-18.725,0.263,0
0.013,0.564,0.932,0.16899999999999998,-10.068,0.619,2
0.0221,0.49,0.618,3.77e-06,-5.655,0.28600000000000003,1
0.983,0.24,0.0479,0.944,-16.953,0.0438,0
0.342,0.703,0.594,0.0,-6.146,0.475,1
0.98,0.205,0.0525,0.906,-23.841,0.0511,0
0.812,0.28800000000000003,0.0372,0.92,-19.215,0.16699999999999998,0
0.605,0.703,0.703,0.0,-4.672,0.6970000000000001,1
0.25,0.5489999999999999,0.722,0.0138,-11.729,0.716,2
0.201,0.64,0.6629999999999999,0.00806,-7.516,0.6629999999999999,2
0.0115,0.7090000000000001,0.679,0.0,-6.502999999999999,0.754,1
0.304,0.0603,0.271,0.8540000000000001,-13.163,0.17800000000000002,2
0.955,0.616,0.008459999999999999,0.000491,-24.88300000000001,0.4970000000000001,2
0.861,0.7120000000000001,0.35700000000000004,0.0725,-18.287,0.8290000000000001,2
0.945,0.155,0.0127,0.731,-30.538,0.0372,2
0.0589,0.586,0.7,0.00125,-9.558,0.897,2
0.5760000000000001,0.368,0.32299999999999995,0.000366,-14.912,0.61,0
0.439,0.212,0.379,0.728,-10.722,0.0618,0
0.000407,0.887,0.606,0.0,-6.572,0.272,1
0.209,0.6890000000000001,0.393,0.0,-9.179,0.513,1
0.128,0.616,0.617,0.0,-8.431000000000001,0.476,1
0.957,0.0629,0.0199,0.906,-26.369,0.0341,2
0.943,0.396,0.277,0.975,-14.373,0.353,0
0.181,0.644,0.919,0.134,-6.289,0.871,2
0.937,0.349,0.08900000000000001,0.958,-15.455,0.301,0
0.468,0.7979999999999999,0.6409999999999999,0.0,-5.581,0.421,1
0.84,0.231,0.199,0.61,-18.938,0.249,2
0.958,0.25,0.135,0.0349,-18.615,0.179,0
0.0798,0.91,0.657,0.0,-8.488999999999999,0.44799999999999995,1
0.98,0.0999,0.0241,0.7659999999999999,-25.651,0.0396,0
0.7290000000000001,0.483,0.721,0.0,-6.836,0.562,2
0.411,0.757,0.868,0.00221,-9.326,0.815,2
0.975,0.303,0.119,0.88,-18.055,0.038,0
0.0247,0.941,0.463,5.53e-05,-5.9929999999999986,0.312,1
0.988,0.168,0.129,0.898,-24.705,0.0697,0
0.0614,0.9279999999999999,0.341,0.0,-10.196,0.745,1
0.991,0.324,0.115,0.932,-25.127,0.187,0
0.0241,0.469,0.537,0.00201,-10.421,0.7829999999999999,2
0.995,0.193,0.0656,0.8290000000000001,-19.239,0.0359,0
0.981,0.38,0.114,0.894,-20.374,0.0709,0
0.315,0.507,0.6759999999999999,2.3899999999999998e-05,-6.845,0.359,1
0.337,0.6809999999999999,0.698,0.0,-9.779,0.545,1
0.44,0.893,0.583,0.0,-5.966,0.846,1
0.335,0.664,0.621,0.0,-8.164,0.302,1
0.146,0.868,0.638,0.0565,-7.746,0.45899999999999996,1
0.132,0.823,0.499,0.0,-11.01,0.604,1
0.304,0.0603,0.271,0.8540000000000001,-13.163,0.17800000000000002,0
0.99,0.0927,0.0268,0.94,-27.546,0.0619,2
0.945,0.155,0.0127,0.731,-30.538,0.0372,0
0.11,0.794,0.7559999999999999,0.0,-7.16,0.775,1
0.943,0.303,0.601,0.936,-12.36,0.545,2
0.000989,0.421,0.677,9.65e-05,-6.183,0.6829999999999999,2
0.931,0.28,0.287,0.888,-22.167,0.509,2
0.679,0.693,0.4970000000000001,0.0,-7.316,0.473,2
0.168,0.8320000000000001,0.5489999999999999,0.0,-8.259,0.384,1
0.487,0.48,0.602,0.0,-6.335,0.269,1
0.981,0.38,0.114,0.894,-20.374,0.0709,2
0.982,0.161,0.113,0.872,-20.832,0.0455,2
0.918,0.0753,0.07,0.947,-27.272,0.0625,0
0.0439,0.753,0.502,1.54e-06,-6.879,0.349,1
0.00494,0.733,0.743,0.0,-5.045,0.623,1
0.818,0.201,0.435,0.00245,-7.149,0.349,2
0.5820000000000001,0.742,0.36,0.0,-11.285,0.34700000000000003,1
0.967,0.155,0.0406,0.659,-25.172,0.0387,2
0.967,0.155,0.0406,0.659,-25.172,0.0387,0
0.14300000000000002,0.782,0.51,0.0,-5.724,0.11800000000000001,1
0.982,0.184,0.0341,0.8370000000000001,-17.384,0.0454,0
0.0153,0.581,0.662,0.0,-5.239,0.434,1
0.992,0.361,0.0064,0.893,-30.422,0.1,0
0.214,0.6679999999999999,0.906,0.00245,-4.881,0.507,2
0.0008939999999999998,0.377,0.682,0.00217,-8.039,0.28800000000000003,2
0.116,0.598,0.901,0.0401,-6.081,0.8140000000000001,2
0.957,0.0629,0.0199,0.906,-26.369,0.0341,0
0.8420000000000001,0.0876,0.0548,0.3720000000000001,-24.786,0.0366,2
0.00298,0.38,0.76,0.0294,-10.961,0.491,2
0.982,0.184,0.0341,0.8370000000000001,-17.384,0.0454,2
0.327,0.591,0.804,5.98e-06,-7.298999999999999,0.6579999999999999,2
0.00574,0.579,0.508,0.0004940000000000001,-9.484,0.609,2
0.337,0.927,0.477,0.0,-10.006,0.527,1
0.994,0.31,0.0555,0.906,-25.695,0.5660000000000001,0
0.0436,0.784,0.499,0.0,-9.713,0.431,1
0.931,0.363,0.0479,0.939,-29.101,0.322,0
0.0302,0.5329999999999999,0.376,0.248,-11.913,0.187,2
0.963,0.688,0.0337,0.8959999999999999,-30.436,0.899,0
0.927,0.209,0.101,0.9,-19.383,0.153,0
0.392,0.809,0.545,0.0,-6.678,0.244,1
0.946,0.14400000000000002,0.132,0.779,-19.115,0.0627,0
0.455,0.664,0.5529999999999999,0.0,-8.316,0.722,1
0.968,0.545,0.175,0.909,-17.925,0.498,2
0.408,0.8140000000000001,0.578,2.65e-06,-6.595,0.495,1
0.991,0.0623,0.0116,0.445,-27.893,0.0331,0
0.185,0.544,0.7440000000000001,0.0,-5.007,0.5720000000000001,1
0.993,0.261,0.0144,0.932,-28.002,0.0738,2
0.957,0.0629,0.0199,0.906,-26.369,0.0341,2
0.99,0.0927,0.0268,0.94,-27.546,0.0619,0
0.0632,0.73,0.868,0.0661,-7.325,0.923,2
0.000373,0.398,0.952,7.75e-05,-6.0420000000000025,0.584,2
0.882,0.1,0.187,0.912,-14.543,0.0385,0
0.365,0.596,0.448,5.3e-06,-9.616,0.7959999999999999,2
0.946,0.14400000000000002,0.132,0.779,-19.115,0.0627,0
0.179,0.8140000000000001,0.527,0.000512,-7.001,0.54,1
0.978,0.465,0.128,0.271,-17.628,0.428,0
0.29100000000000004,0.836,0.498,0.0,-8.846,0.292,1
0.994,0.174,0.17800000000000002,0.861,-18.717,0.0347,2
0.0301,0.456,0.978,0.499,-4.869,0.327,2
0.978,0.364,0.0592,0.0,-21.757,0.185,0
0.946,0.14400000000000002,0.132,0.779,-19.115,0.0627,2
0.963,0.463,0.162,0.825,-24.484,0.374,0
0.901,0.0754,0.0102,0.106,-35.69,0.0331,0
0.812,0.28800000000000003,0.0372,0.92,-19.215,0.16699999999999998,2
0.778,0.166,0.328,0.936,-13.806,0.0759,0
0.94,0.218,0.117,0.861,-18.585,0.0599,0
0.923,0.109,0.16399999999999998,0.889,-18.07,0.0393,2
0.861,0.7120000000000001,0.35700000000000004,0.0725,-18.287,0.8290000000000001,0
0.313,0.489,0.7240000000000001,0.185,-8.367,0.15,2
0.36,0.453,0.905,0.0005690000000000001,-4.001,0.474,2
0.995,0.37,0.0076,0.91,-33.663000000000004,0.278,0
0.947,0.528,0.282,0.959,-16.449,0.393,0
0.00249,0.545,0.64,0.0304,-9.937,0.606,2
0.128,0.7979999999999999,0.568,0.0,-7.83,0.7040000000000001,1
0.964,0.332,0.333,0.000257,-10.769,0.091,0
0.181,0.597,0.605,0.000331,-12.013,0.8859999999999999,2
