acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre
0.795,0.319,206800,0.467,0.903,0,0.129,-10.88,1,0.0305,98.105,3,0.393,-1
0.7879999999999999,0.321,364733,0.257,0.858,0,0.245,-13.175999999999998,1,0.0353,124.543,4,0.153,1
0.0172,0.86,128341,0.583,0.0,1,0.124,-6.797999999999999,1,0.14300000000000002,105.001,4,0.413,0
0.159,0.784,143153,0.586,0.0,10,0.183,-5.148,1,0.057,113.973,4,0.8240000000000001,0
0.271,0.414,354320,0.404,0.0,0,0.3,-9.928,0,0.0499,71.105,4,0.224,-1
0.894,0.253,204093,0.177,0.573,7,0.6679999999999999,-19.525,1,0.0346,89.052,4,0.242,1
0.974,0.295,154960,0.119,0.934,6,0.0771,-17.42,0,0.0826,221.716,4,0.354,1
0.994,0.174,278933,0.17800000000000002,0.861,1,0.0737,-18.717,0,0.0362,167.972,3,0.0347,1
0.944,0.14800000000000002,478573,0.0722,0.14800000000000002,4,0.115,-25.217,0,0.0427,87.882,4,0.0467,1
0.913,0.395,134173,0.0225,0.953,4,0.156,-32.611999999999995,0,0.0353,117.202,4,0.217,1
0.307,0.802,112000,0.441,0.00259,10,0.1,-13.67,1,0.284,92.397,4,0.25,0
0.994,0.29600000000000004,257000,0.00896,0.91,7,0.0815,-31.948,0,0.0394,69.44,3,0.0673,1
0.948,0.184,244693,0.0953,0.0371,2,0.102,-18.573,1,0.0405,85.296,3,0.197,-1
0.385,0.6709999999999999,265067,0.405,0.0,0,0.132,-10.052,1,0.0392,99.678,4,0.828,-1
0.963,0.336,230933,0.29100000000000004,0.0004570000000000001,11,0.102,-12.972,1,0.0392,102.114,5,0.0786,-1
0.995,0.321,247973,0.0134,0.909,1,0.0732,-25.438,1,0.0437,64.851,4,0.0624,1
0.448,0.55,214733,0.8240000000000001,0.000127,2,0.366,-5.988,1,0.0334,114.512,4,0.777,-1
0.992,0.225,259493,0.0047,0.8809999999999999,1,0.0722,-30.928,0,0.0509,163.665,4,0.18600000000000005,1
0.818,0.201,245893,0.435,0.00245,7,0.0985,-7.149,1,0.033,156.477,3,0.349,1
0.015,0.547,261933,0.691,0.105,4,0.14400000000000002,-13.553,0,0.0369,137.148,4,0.667,-1
0.989,0.16,237960,0.0668,0.914,3,0.161,-18.868,1,0.0432,141.069,3,0.0344,-1
0.202,0.799,81281,0.39,0.028,8,0.188,-10.558,1,0.378,154.86,4,0.423,0
0.629,0.735,220488,0.449,0.0,10,0.113,-7.5070000000000014,1,0.34700000000000003,122.947,4,0.0397,0
0.949,0.58,87173,0.0427,0.987,6,0.065,-32.398,0,0.0367,113.911,4,0.774,-1
0.903,0.177,485667,0.127,0.901,8,0.114,-19.167,1,0.0394,149.69799999999995,4,0.0612,1
0.00321,0.482,323000,0.7859999999999999,8.88e-05,7,0.446,-5.735,1,0.032,126.755,4,0.7929999999999999,-1
0.0533,0.5479999999999999,302800,0.5820000000000001,0.0096,7,0.102,-10.194,0,0.0402,119.658,4,0.305,1
0.966,0.115,455467,0.0422,0.919,8,0.0896,-24.137,1,0.0404,87.855,3,0.037000000000000005,1
0.96,0.175,471043,0.231,0.0177,10,0.341,-13.488,1,0.0427,89.322,3,0.0397,1
0.17800000000000002,0.55,303200,0.5760000000000001,0.00935,0,0.0555,-13.475,1,0.0306,109.837,4,0.486,-1
0.0235,0.16699999999999998,165667,0.181,0.88,2,0.145,-15.928,0,0.0325,84.915,4,0.0504,1
0.7140000000000001,0.238,233600,0.227,0.8320000000000001,2,0.0837,-15.534,1,0.036000000000000004,129.392,4,0.29,1
0.7390000000000001,0.25,232027,0.5870000000000001,0.915,3,0.0932,-11.227,1,0.0469,78.059,4,0.206,1
0.28800000000000003,0.8059999999999999,160812,0.665,0.0,6,0.0748,-7.463999999999999,0,0.132,98.426,4,0.502,0
0.977,0.458,84267,0.11,0.903,9,0.359,-22.234,0,0.0309,83.43,4,0.481,1
0.687,0.4320000000000001,341773,0.389,0.0107,7,0.0788,-6.517,1,0.0255,139.506,4,0.158,-1
0.408,0.504,174840,0.578,0.0,4,0.321,-9.302,1,0.031,132.411,4,0.654,-1
0.995,0.436,224133,0.00518,0.932,7,0.0788,-36.593,1,0.067,135.286,5,0.275,1
0.8,0.122,110973,0.0862,0.901,9,0.108,-30.677,1,0.0367,180.363,4,0.0379,-1
0.993,0.261,221293,0.0144,0.932,6,0.0948,-28.002,0,0.0448,75.715,1,0.0738,1
0.8,0.122,110973,0.0862,0.901,9,0.108,-30.677,1,0.0367,180.363,4,0.0379,1
0.4320000000000001,0.601,281613,0.532,6.25e-06,10,0.0925,-9.119,1,0.0286,136.571,4,0.341,-1
0.0265,0.8420000000000001,170641,0.789,0.0,6,0.355,-8.732999999999999,0,0.17800000000000002,111.113,4,0.795,0
0.07200000000000001,0.76,168653,0.615,0.0,5,0.0571,-9.36,0,0.33,148.014,4,0.35100000000000003,0
0.011,0.31,255493,0.7,0.00965,9,0.0828,-5.678,1,0.047,188.386,4,0.763,-1
0.0188,0.861,153478,0.58,2.22e-06,8,0.0767,-7.07,0,0.338,157.875,4,0.805,0
0.118,0.7240000000000001,141224,0.435,0.0,1,0.119,-10.68,1,0.25,142.042,4,0.406,0
0.0239,0.8490000000000001,122587,0.536,0.0,1,0.126,-7.307,1,0.349,141.964,4,0.308,0
0.0102,0.7290000000000001,352906,0.989,4.45e-05,9,0.443,-4.613,0,0.049,126.47,4,0.84,-1
0.145,0.0891,371747,0.341,0.836,10,0.111,-12.681,0,0.046,85.23100000000002,3,0.0334,1
0.381,0.927,158769,0.623,0.0,4,0.0666,-6.886,0,0.245,130.05700000000002,4,0.596,0
0.969,0.116,195333,0.0694,0.644,0,0.109,-23.624,1,0.0497,169.78900000000004,4,0.0377,1
0.992,0.361,202360,0.0064,0.893,8,0.119,-30.422,1,0.057,135.904,4,0.1,-1
0.206,0.762,247178,0.703,0.0,10,0.0912,-7.951,0,0.306,151.329,4,0.519,0
0.221,0.7,140526,0.722,0.0,7,0.272,-3.5580000000000003,0,0.0369,90.989,4,0.7559999999999999,0
0.269,0.831,220487,0.499,0.0,11,0.3,-8.442,0,0.114,97.956,4,0.511,0
0.11800000000000001,0.903,178286,0.586,0.0,7,0.0931,-6.593,0,0.302,140.088,4,0.738,0
0.00301,0.8009999999999999,280666,0.596,0.0,1,0.162,-4.72,1,0.0534,120.028,4,0.134,0
0.955,0.616,131707,0.008459999999999999,0.000491,2,0.233,-24.88300000000001,1,0.0432,123.049,4,0.4970000000000001,1
0.131,0.8059999999999999,188560,0.718,0.0,2,0.39799999999999996,-4.213,0,0.0898,98.52600000000001,4,0.586,0
0.00169,0.361,282920,0.97,0.0016300000000000002,7,0.35700000000000004,-4.817,0,0.284,179.017,4,0.254,-1
0.00351,0.336,355304,0.792,0.00175,9,0.0437,-10.875,1,0.084,155.58700000000005,4,0.4270000000000001,-1
0.987,0.29,339733,0.0126,0.943,4,0.0973,-27.648000000000003,0,0.0592,117.779,4,0.0333,1
0.948,0.184,244693,0.0953,0.0371,2,0.102,-18.573,1,0.0405,85.296,3,0.197,1
0.0846,0.611,246800,0.883,1.2e-06,9,0.192,-11.225,1,0.0539,117.928,4,0.604,-1
0.0224,0.6829999999999999,186210,0.779,0.0,2,0.368,-6.5120000000000005,1,0.0609,138.018,4,0.198,0
0.000646,0.89,123333,0.519,0.0243,2,0.0679,-7.566,1,0.231,75.01,4,0.561,0
0.75,0.385,217133,0.202,0.7829999999999999,4,0.112,-15.072,1,0.036000000000000004,94.99,4,0.233,1
0.279,0.836,137143,0.5579999999999999,1.55e-05,6,0.107,-9.572,0,0.0387,125.978,4,0.708,0
0.302,0.453,271333,0.464,5.96e-05,2,0.152,-10.96,1,0.0431,93.19,4,0.6579999999999999,-1
0.0664,0.741,160133,0.6970000000000001,2.28e-05,0,0.133,-7.028,1,0.0277,116.109,4,0.774,-1
0.983,0.384,319107,0.0955,0.826,9,0.0889,-19.427,0,0.0394,109.624,4,0.0425,-1
0.913,0.395,134173,0.0225,0.953,4,0.156,-32.611999999999995,0,0.0353,117.202,4,0.217,-1
0.326,0.5429999999999999,313840,0.529,0.00269,7,0.7090000000000001,-9.717,1,0.0301,85.126,4,0.746,-1
0.162,0.6940000000000001,178329,0.6970000000000001,0.0,8,0.0821,-7.372999999999997,0,0.0379,89.96600000000002,4,0.379,0
0.00969,0.7190000000000001,148935,0.5920000000000001,0.0,1,0.115,-6.372000000000001,0,0.0572,167.94299999999996,4,0.44,0
0.807,0.165,592040,0.106,0.782,8,0.105,-21.742,1,0.039,105.651,3,0.0336,1
0.00145,0.536,276880,0.901,0.0186,9,0.06,-7.211,1,0.0374,87.559,4,0.6659999999999999,-1
0.231,0.838,143825,0.609,0.0,8,0.0983,-5.1610000000000005,0,0.0502,127.963,4,0.6,0
0.12,0.81,154998,0.511,0.0,5,0.0832,-6.9239999999999995,0,0.16399999999999998,151.947,4,0.8370000000000001,0
0.244,0.7609999999999999,261493,0.518,3.47e-05,0,0.107,-8.871,1,0.134,133.976,4,0.522,0
0.0484,0.412,333893,0.902,0.131,9,0.405,-11.6,1,0.405,89.74,4,0.422,-1
0.947,0.528,145200,0.282,0.959,4,0.142,-16.449,0,0.0309,74.834,4,0.393,-1
0.96,0.175,471043,0.231,0.0177,10,0.341,-13.488,1,0.0427,89.322,3,0.0397,-1
0.993,0.341,357747,0.0142,0.921,2,0.113,-28.29300000000001,1,0.0388,76.382,1,0.0384,1
0.927,0.204,207267,0.0331,0.825,2,0.0954,-24.044,0,0.0487,116.2,3,0.0547,1
0.795,0.319,206800,0.467,0.903,0,0.129,-10.88,1,0.0305,98.105,3,0.393,1
0.898,0.371,442693,0.131,0.925,2,0.0847,-23.899,1,0.0413,105.328,4,0.0655,1
0.975,0.183,254389,0.191,0.0589,9,0.106,-17.132,1,0.0477,92.054,4,0.0392,-1
0.122,0.691,205666,0.632,0.0,1,0.0646,-7.598,1,0.0513,169.982,4,0.488,0
0.846,0.173,173333,0.149,0.925,4,0.119,-19.694000000000006,0,0.0403,66.443,5,0.0901,1
0.873,0.205,337253,0.0686,0.402,4,0.0909,-23.415,0,0.0462,90.779,1,0.0359,1
0.8140000000000001,0.253,267667,0.327,2.51e-06,10,0.119,-8.457,1,0.0343,71.303,4,0.0444,1
0.0468,0.654,168840,0.929,0.0,1,0.0539,-5.9060000000000015,1,0.0998,144.774,4,0.902,-1
0.96,0.153,118093,0.0551,0.7879999999999999,9,0.117,-23.94,1,0.0412,149.959,3,0.157,-1
0.8590000000000001,0.142,255693,0.113,0.838,2,0.107,-25.362,0,0.0415,98.575,1,0.0697,1
0.452,0.483,517125,0.615,0.000414,2,0.0512,-8.538,1,0.0497,80.57600000000002,3,0.594,-1
0.973,0.331,126733,0.0422,0.922,4,0.0879,-28.457,0,0.0311,104.999,4,0.108,-1
0.974,0.295,154960,0.119,0.934,6,0.0771,-17.42,0,0.0826,221.716,4,0.354,-1
0.995,0.272,181027,0.0138,0.925,1,0.145,-31.146,0,0.0417,73.442,4,0.0808,1
0.894,0.35200000000000004,626240,0.235,0.675,2,0.396,-16.235,1,0.0398,109.16,1,0.329,1
0.92,0.34600000000000003,244400,0.229,0.76,3,0.092,-14.399,1,0.038,113.982,4,0.3670000000000001,-1
0.26,0.748,193933,0.48700000000000004,0.0,0,0.133,-9.462,1,0.233,103.885,4,0.7040000000000001,0
0.389,0.691,250400,0.5920000000000001,3.2899999999999987e-05,2,0.124,-8.089,1,0.0366,115.152,4,0.736,-1
0.92,0.254,124067,0.171,0.804,5,0.116,-14.75,1,0.0334,82.18299999999998,4,0.28300000000000003,-1
0.0327,0.8809999999999999,198913,0.457,0.0,7,0.231,-8.191,0,0.156,136.97,4,0.29600000000000004,0
0.976,0.212,1252322,0.119,0.907,1,0.087,-20.511,1,0.0366,84.346,3,0.0396,1
0.203,0.816,226314,0.579,0.0,1,0.127,-6.097,1,0.0867,120.078,4,0.43,0
0.978,0.18600000000000005,183267,0.124,0.865,1,0.111,-15.271,1,0.0434,77.903,4,0.248,1
0.955,0.245,180480,0.315,0.00156,2,0.095,-11.555,1,0.0364,85.807,4,0.126,1
0.984,0.339,277148,0.0588,0.862,10,0.12,-17.647000000000006,0,0.0373,105.916,4,0.198,1
0.079,0.742,188987,0.833,0.0,2,0.384,-6.462999999999999,1,0.115,113.375,4,0.816,-1
0.89,0.275,152280,0.157,0.8420000000000001,7,0.18600000000000005,-18.752,1,0.0636,73.289,4,0.304,1
0.0421,0.752,213520,0.6579999999999999,0.0,0,0.0927,-6.2970000000000015,1,0.342,151.951,4,0.387,0
0.943,0.396,100360,0.277,0.975,0,0.103,-14.373,1,0.038,114.044,4,0.353,-1
0.989,0.16,237960,0.0668,0.914,3,0.161,-18.868,1,0.0432,141.069,3,0.0344,1
0.991,0.377,500500,0.173,0.909,9,0.103,-21.377,1,0.0329,132.187,4,0.5579999999999999,1
0.0111,0.7959999999999999,141123,0.6829999999999999,2.58e-06,10,0.126,-5.165,0,0.27699999999999997,173.852,3,0.737,0
0.0192,0.5429999999999999,180943,0.715,0.0,2,0.256,-8.89,1,0.0356,124.011,4,0.468,-1
0.991,0.191,330293,0.0363,0.924,3,0.141,-25.31,1,0.0409,69.75399999999999,4,0.0372,1
0.993,0.277,242133,0.241,0.91,7,0.113,-15.582,0,0.0377,80.821,4,0.185,-1
0.804,0.295,237413,0.408,0.14800000000000002,4,0.165,-16.632,0,0.0693,150.454,3,0.16399999999999998,1
0.0279,0.851,177255,0.518,0.0,7,0.115,-9.422,0,0.107,129.94299999999998,4,0.468,0
0.984,0.223,167160,0.165,0.95,10,0.348,-16.394000000000002,1,0.0504,73.46300000000002,5,0.0518,1
0.947,0.101,208587,0.0241,0.847,11,0.0693,-30.172,0,0.0485,87.14,3,0.0329,1
0.991,0.122,243627,0.0143,0.261,5,0.0599,-31.373,1,0.0446,170.533,5,0.083,-1
0.974,0.102,537427,0.0733,0.8590000000000001,10,0.28,-24.13300000000001,0,0.0488,73.954,3,0.0308,1
0.0691,0.528,180581,0.705,0.0,0,0.109,-4.767,0,0.35200000000000004,160.014,4,0.645,0
0.939,0.34700000000000003,74467,0.145,0.8140000000000001,7,0.118,-17.307000000000002,0,0.0323,127.063,4,0.44,1
0.406,0.653,153693,0.519,0.0209,2,0.101,-10.164,1,0.0497,98.883,4,0.8220000000000001,-1
0.466,0.8440000000000001,194892,0.578,1.18e-06,7,0.118,-7.423999999999999,1,0.103,133.004,4,0.737,0
0.992,0.35700000000000004,239333,0.0464,0.8590000000000001,8,0.109,-20.868,1,0.0434,69.859,3,0.0417,1
0.963,0.391,171680,0.24,4.07e-06,10,0.199,-16.497,1,0.0638,110.421,1,0.238,1
0.348,0.866,161280,0.565,0.0,6,0.0722,-8.738999999999999,0,0.208,124.983,4,0.88,0
0.974,0.304,273667,0.145,0.871,1,0.14400000000000002,-16.918,1,0.0347,83.435,3,0.0568,-1
0.0198,0.57,146342,0.5710000000000001,0.0,9,0.10400000000000001,-6.3260000000000005,1,0.151,163.977,4,0.248,0
0.935,0.24,423107,0.0648,0.0272,4,0.258,-25.208,0,0.0426,95.286,3,0.0771,1
0.251,0.77,145400,0.648,4.3e-06,9,0.132,-5.675,1,0.0323,99.988,4,0.417,0
0.6990000000000001,0.531,516893,0.481,0.0,4,0.0842,-11.709,0,0.06,138.45,4,0.491,-1
0.994,0.249,120000,0.0356,0.866,0,0.118,-30.165,1,0.0484,178.377,4,0.7559999999999999,1
0.81,0.48,204147,0.163,0.754,5,0.093,-19.117,0,0.0645,158.366,4,0.212,1
0.388,0.307,266960,0.433,9.08e-05,1,0.332,-10.057,1,0.029,160.9,4,0.224,-1
0.19399999999999998,0.7140000000000001,123480,0.609,0.0,3,0.126,-7.683,0,0.17,140.20600000000002,4,0.778,0
0.0978,0.7240000000000001,199758,0.675,9.41e-06,2,0.35100000000000003,-5.267,1,0.0867,160.048,4,0.325,0
0.0966,0.667,286220,0.755,6.94e-05,9,0.0523,-7.246,1,0.069,109.535,4,0.883,-1
0.278,0.782,231053,0.529,0.0,6,0.0826,-8.877,0,0.0959,134.005,4,0.3,0
0.994,0.249,120000,0.0356,0.866,0,0.118,-30.165,1,0.0484,178.377,4,0.7559999999999999,-1
0.853,0.794,342040,0.32,0.134,1,0.112,-12.92,0,0.173,174.088,4,0.241,0
0.123,0.6509999999999999,200480,0.8009999999999999,0.0,0,0.0825,-7.34,1,0.0513,133.763,4,0.7759999999999999,-1
0.923,0.342,244400,0.237,0.741,3,0.0915,-14.332,1,0.0387,114.313,4,0.334,1
0.105,0.173,333360,0.481,0.052000000000000005,1,0.317,-9.674,1,0.0332,90.014,4,0.047,1
0.75,0.385,217133,0.202,0.7829999999999999,4,0.112,-15.072,1,0.036000000000000004,94.99,4,0.233,-1
0.941,0.197,458267,0.046,0.7979999999999999,2,0.0916,-22.31,1,0.0385,79.398,4,0.0386,-1
0.963,0.212,177333,0.301,0.0033,2,0.13,-12.505,1,0.0384,84.025,4,0.0798,1
0.901,0.359,152160,0.046,0.118,6,0.277,-18.725,0,0.0407,127.653,4,0.263,1
0.013,0.564,146250,0.932,0.16899999999999998,11,0.349,-10.068,1,0.0554,112.937,4,0.619,-1
0.0221,0.49,201600,0.618,3.77e-06,1,0.259,-5.655,1,0.104,99.7,4,0.28600000000000003,0
0.983,0.24,304000,0.0479,0.944,4,0.0649,-16.953,0,0.0392,130.39600000000002,4,0.0438,1
0.342,0.703,114893,0.594,0.0,5,0.123,-6.146,0,0.0752,153.84799999999996,4,0.475,0
0.98,0.205,174653,0.0525,0.906,1,0.103,-23.841,1,0.0327,88.316,4,0.0511,1
0.812,0.28800000000000003,144827,0.0372,0.92,2,0.0789,-19.215,1,0.0381,110.899,3,0.16699999999999998,1
0.605,0.703,183783,0.703,0.0,1,0.12,-4.672,1,0.133,76.017,4,0.6970000000000001,0
0.25,0.5489999999999999,434720,0.722,0.0138,11,0.11,-11.729,0,0.0283,103.885,4,0.716,-1
0.201,0.64,140773,0.6629999999999999,0.00806,0,0.152,-7.516,1,0.0374,132.77,4,0.6629999999999999,-1
0.0115,0.7090000000000001,153467,0.679,0.0,11,0.0971,-6.502999999999999,0,0.34600000000000003,162.97299999999996,4,0.754,0
0.304,0.0603,206970,0.271,0.8540000000000001,2,0.0854,-13.163,1,0.0419,57.221,5,0.17800000000000002,-1
0.955,0.616,131707,0.008459999999999999,0.000491,2,0.233,-24.88300000000001,1,0.0432,123.049,4,0.4970000000000001,-1
0.861,0.7120000000000001,92293,0.35700000000000004,0.0725,11,0.0691,-18.287,0,0.0794,113.035,4,0.8290000000000001,-1
0.945,0.155,188333,0.0127,0.731,1,0.0991,-30.538,1,0.0449,78.595,1,0.0372,-1
0.0589,0.586,295400,0.7,0.00125,0,0.0318,-9.558,1,0.0363,147.245,4,0.897,-1
0.5760000000000001,0.368,138800,0.32299999999999995,0.000366,9,0.194,-14.912,1,0.0365,124.262,4,0.61,1
0.439,0.212,582960,0.379,0.728,7,0.113,-10.722,0,0.0299,137.72799999999998,3,0.0618,1
0.000407,0.887,210699,0.606,0.0,2,0.151,-6.572,1,0.324,139.995,4,0.272,0
0.209,0.6890000000000001,171888,0.393,0.0,0,0.122,-9.179,0,0.0876,158.016,4,0.513,0
0.128,0.616,177273,0.617,0.0,1,0.177,-8.431000000000001,1,0.52,175.929,4,0.476,0
0.957,0.0629,249133,0.0199,0.906,5,0.0868,-26.369,1,0.0425,65.979,3,0.0341,-1
0.943,0.396,100360,0.277,0.975,0,0.103,-14.373,1,0.038,114.044,4,0.353,1
0.181,0.644,259907,0.919,0.134,2,0.622,-6.289,1,0.0561,117.459,4,0.871,-1
0.937,0.349,176573,0.08900000000000001,0.958,2,0.343,-15.455,1,0.0381,106.794,4,0.301,1
0.468,0.7979999999999999,184110,0.6409999999999999,0.0,1,0.171,-5.581,1,0.3720000000000001,146.078,4,0.421,0
0.84,0.231,157267,0.199,0.61,6,0.0909,-18.938,0,0.0476,89.111,4,0.249,-1
0.958,0.25,364093,0.135,0.0349,9,0.0477,-18.615,1,0.0488,94.404,4,0.179,1
0.0798,0.91,172099,0.657,0.0,0,0.307,-8.488999999999999,0,0.235,122.911,4,0.44799999999999995,0
